time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
3.223490	4	505.976	907.985	2399.781	3183.959
3.243490	4	565.122	1004.575	2122.645	3209.902
3.263490	4	566.756	1294.019	2014.060	3338.929
3.283490	4	430.012	1466.595	2032.918	3306.923
3.303490	4	347.803	1847.977	2012.309	3312.602
3.323490	4	351.594	1924.753	2031.610	3340.350
3.343490	4	352.890	1933.645	1985.565	3319.555
3.363490	4	348.721	1867.616	1899.175	3309.423
3.383490	4	296.451	1879.346	1891.819	3388.317
3.403490	4	287.968	1682.026	2007.640	3877.634
3.423490	4	294.855	1776.528	2041.760	3891.127
3.443490	3	1225.823	2035.374	3445.694	--undefined--
3.463490	3	1213.601	1871.038	3105.272	--undefined--
3.483490	2	1644.522	2731.922	--undefined--	--undefined--
3.503490	2	1582.153	2864.680	--undefined--	--undefined--
3.523490	4	135.440	1559.415	2858.484	3850.343
3.543490	3	155.192	1583.186	2796.565	--undefined--
3.563490	3	119.353	1530.164	2740.595	--undefined--
3.583490	4	104.671	1499.700	2619.823	3966.795
3.603490	4	138.637	1630.205	2656.281	3775.054
3.623490	4	167.790	1738.224	2677.551	3692.726
3.643490	2	2025.663	2976.011	--undefined--	--undefined--
3.663490	3	504.748	2184.743	3034.294	--undefined--
3.683490	3	1045.939	2253.289	3114.693	--undefined--
3.703490	3	1217.187	2307.778	3094.327	--undefined--
3.723490	3	1260.136	2317.028	3377.916	--undefined--
3.743490	3	1233.586	2430.506	3426.524	--undefined--
3.763490	3	1283.013	2391.141	3208.544	--undefined--
3.783490	3	1329.318	2267.774	3199.681	--undefined--
3.803490	3	1098.805	2176.319	2935.124	--undefined--
3.823490	3	1081.343	2218.031	3127.190	--undefined--
3.843490	3	1084.135	2320.226	3305.006	--undefined--
3.863490	4	1141.105	2422.870	2501.377	3613.536
3.883490	4	1037.040	2034.529	2752.163	3739.621
3.903490	3	927.923	2047.103	2862.421	--undefined--
3.923490	4	965.831	1987.972	2787.114	3948.758
3.943490	4	1000.037	1813.656	3017.644	3726.641
3.963490	4	1050.078	1814.576	3057.243	3712.246
3.983490	4	1092.915	1819.583	2862.737	3671.425
4.003490	4	1026.287	1693.083	2818.827	3633.356
4.023490	4	940.515	1883.618	3225.775	3919.475
4.043490	4	1160.809	2319.349	3262.823	3847.311
4.063490	4	1193.255	2317.802	3273.164	3824.158
4.083490	4	1157.649	2078.001	3249.084	3789.098
4.103490	4	1079.986	1918.273	3282.744	3820.050
4.123490	4	1374.014	1739.449	3202.653	3772.492
4.143490	4	1358.508	1857.254	3076.758	3656.524
4.163490	4	1292.605	1975.001	3164.788	3695.789
4.183490	3	1237.923	2161.738	3319.856	--undefined--
4.203490	3	1299.408	2356.354	3343.240	--undefined--
4.223490	3	1295.184	2322.292	3324.589	--undefined--
4.243490	3	1280.647	2361.578	3236.164	--undefined--
4.263490	3	1262.406	2262.354	3166.526	--undefined--
4.283490	3	1303.023	2212.727	3124.928	--undefined--
4.303490	3	1278.856	2137.075	3103.176	--undefined--
4.323490	3	1337.786	2163.569	3082.061	--undefined--
4.343490	3	1523.232	2153.345	3079.119	--undefined--
4.363490	3	1631.003	2266.047	2777.451	--undefined--
4.383490	3	1390.834	2211.131	2974.154	--undefined--
4.403490	3	1251.827	2245.409	3104.203	--undefined--
4.423490	3	1242.717	2193.359	3083.938	--undefined--
4.443490	3	1285.543	2179.249	3135.860	--undefined--
4.463490	3	1331.931	2300.787	2963.737	--undefined--
