time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
1.227359	4	454.964	1855.082	2558.293	3606.235
1.233609	4	445.911	1840.606	2576.794	3629.896
1.239859	4	434.948	1820.534	2631.803	3664.923
1.246109	4	432.778	1840.980	2599.047	3749.035
1.252359	4	416.036	1829.883	2563.154	3822.652
1.258609	4	413.032	1826.970	2512.337	3727.484
1.264859	4	393.791	1856.680	2446.570	3636.791
1.271109	4	401.890	1916.883	2562.591	3704.439
1.277359	4	413.460	1933.127	2567.005	3636.954
1.283609	4	410.779	1911.074	2777.886	3593.387
1.289859	4	447.828	1878.501	2580.582	3614.337
1.296109	4	439.694	1856.960	2584.870	3658.511
1.302359	4	445.989	1828.946	2598.190	3632.364
1.308609	4	391.548	1815.141	2515.090	3550.513
1.314859	4	358.646	1845.294	2418.668	3530.775
1.321109	4	380.033	1816.972	2411.940	3615.727
1.327359	4	374.150	1798.274	2395.074	3678.785
1.333609	4	357.028	1785.265	2440.232	3634.862
1.339859	4	357.032	1769.745	2556.170	3553.271
1.346109	4	346.108	1752.371	2531.650	3561.306
1.352359	4	359.624	1753.810	2534.770	3462.181
1.358609	4	339.992	1776.997	2381.313	3508.896
1.364859	4	356.033	1707.443	2302.683	3677.099
1.371109	4	376.127	1642.607	2304.964	3503.804
1.377359	4	334.482	1599.900	2279.701	3465.241
1.383609	4	335.234	1554.303	2242.446	3456.341
1.389859	4	321.908	1508.485	2261.371	3522.842
1.396109	4	340.280	1571.759	2262.726	3655.456
1.402359	4	340.693	1510.942	2281.883	3814.452
1.408609	4	362.639	1566.526	2305.822	3810.513
1.414859	4	329.115	1608.493	2355.975	3841.589
1.421109	4	317.613	1714.112	2297.575	3696.373
1.427359	4	377.483	2039.253	2956.918	3540.446
1.433609	4	436.720	1994.917	3169.991	3736.691
1.439859	4	542.902	1974.255	3258.997	3716.120
1.446109	4	520.047	1675.042	2533.873	3678.828
1.452359	4	463.549	1627.008	2392.278	3628.938
1.458609	4	456.571	1557.721	2400.237	3626.593
1.464859	4	494.989	1434.492	2312.413	3584.951
1.471109	4	510.339	1377.338	2241.058	3557.386
1.477359	4	549.375	1519.381	2311.261	3487.570
1.483609	4	569.551	1497.019	2439.351	3498.223
1.489859	4	616.703	1677.731	2150.310	3510.991
1.496109	4	616.583	1542.648	2341.390	3502.834
1.502359	4	644.611	1505.310	2309.630	3480.213
1.508609	4	638.636	1564.805	2299.834	3490.560
1.514859	4	658.527	1706.061	2466.121	3474.338
1.521109	3	645.208	1913.043	3485.280	--undefined--
1.527359	4	668.586	1087.848	2027.719	3471.336
1.533609	4	642.946	1337.636	2083.019	3477.634
1.539859	4	629.066	1202.138	2351.080	3480.917
1.546109	4	581.727	1242.441	2434.331	3485.051
1.552359	4	674.153	856.983	1994.471	3455.247
1.558609	4	571.423	681.786	2030.660	3437.433
1.564859	4	593.214	1127.349	2044.513	3449.572
1.571109	4	511.291	559.108	1901.368	3447.337
1.577359	4	592.531	1344.028	2083.726	3475.780
1.583609	4	562.460	1049.622	2238.976	3451.388
1.589859	4	552.622	1037.676	2306.022	3438.816
1.596109	4	537.180	1036.878	2303.755	3398.513
1.602359	4	493.578	937.613	2229.814	3471.271
1.608609	4	586.258	728.677	2339.542	3453.531
1.614859	4	613.341	938.375	2531.472	3455.169
1.621109	4	605.037	1015.607	2578.276	3460.648
1.627359	4	633.917	1045.016	2584.103	3490.302
1.633609	4	629.216	1037.590	2466.802	3495.801
1.639859	4	631.852	1024.970	2450.346	3502.494
1.646109	4	663.287	1030.843	2467.933	3479.169
1.652359	4	653.369	1047.510	2520.112	3493.810
1.658609	4	644.545	1072.187	2630.220	3542.842
1.664859	4	659.221	1149.894	2573.158	3570.556
1.671109	4	662.567	1137.360	2573.955	3592.834
1.677359	4	647.324	1142.473	2449.607	3585.653
1.683609	4	613.360	1145.354	2410.625	3671.863
1.689859	4	613.396	1212.086	2576.653	3682.024
1.696109	4	616.669	1263.498	2601.235	3759.744
1.702359	4	787.432	1087.286	2570.563	3725.787
1.708609	3	799.327	2352.858	3488.683	--undefined--
1.714859	4	824.991	2301.696	3169.419	3821.428
1.721109	4	849.598	2393.315	3423.908	3830.626
1.727359	4	812.036	2437.774	3476.388	3794.965
1.733609	3	819.890	2518.029	3427.803	--undefined--
1.739859	3	914.676	2580.643	3473.154	--undefined--
1.746109	4	804.401	2262.942	3152.261	3756.532
1.752359	3	811.875	2215.089	3407.078	--undefined--
1.758609	3	974.729	2339.966	3477.200	--undefined--
1.764859	3	879.804	2355.470	3507.540	--undefined--
1.771109	3	903.723	2268.913	3439.492	--undefined--
1.777359	3	960.427	2167.690	3245.707	--undefined--
1.783609	3	997.946	2347.627	3401.877	--undefined--
1.789859	3	1012.469	2407.105	3552.636	--undefined--
1.796109	3	941.639	2389.171	3518.663	--undefined--
1.802359	4	844.813	2250.206	3648.571	3746.297
1.808609	3	866.984	2298.035	3497.767	--undefined--
1.814859	3	829.218	2342.622	3374.123	--undefined--
1.821109	3	784.456	2295.194	3262.116	--undefined--
1.827359	3	718.214	2041.174	3158.699	--undefined--
1.833609	3	722.761	2199.803	3376.274	--undefined--
1.839859	3	846.124	2328.053	3700.886	--undefined--
1.846109	4	694.068	2494.892	2722.856	4107.823
1.852359	4	710.757	1720.449	2915.252	3911.181
1.858609	4	705.259	1690.170	2880.233	3687.290
1.864859	4	555.550	1529.526	2639.006	3774.515
1.871109	4	494.021	1195.084	2557.863	3887.147
1.877359	4	609.916	1079.715	2521.451	3788.184
1.883609	4	627.729	1071.715	2501.562	3735.278
1.889859	4	637.342	1142.092	2553.578	3772.745
1.896109	4	647.934	1170.126	2788.003	3734.327
1.902359	4	577.960	1039.360	2609.377	3606.344
1.908609	4	440.162	1072.028	2583.208	3651.615
1.914859	4	640.480	1093.877	2581.777	3811.525
1.921109	4	731.374	1097.942	2714.127	3814.408
1.927359	4	685.893	1115.109	2670.107	3512.837
1.933609	4	588.810	1129.965	2675.103	3519.791
1.939859	4	610.780	1116.489	2648.411	3546.907
1.946109	4	638.952	1132.484	2613.236	3708.962
1.952359	4	609.797	1121.379	2664.883	3771.412
1.958609	4	606.649	1073.436	2756.563	3850.638
1.964859	4	622.824	1213.433	2881.194	3815.515
1.971109	4	608.119	1115.219	2825.478	3768.786
1.977359	4	601.582	1048.912	2743.759	3755.145
1.983609	4	603.071	1133.590	2722.019	3725.973
1.989859	4	588.792	1122.557	2614.663	3729.055
1.996109	4	583.529	1195.845	2714.192	3760.990
2.002359	4	576.945	1143.857	2683.511	3683.960
2.008609	4	569.106	1203.485	2682.293	3665.346
2.014859	4	563.671	1251.635	2759.972	3751.733
2.021109	4	555.675	1252.969	2857.997	3741.378
2.027359	4	536.149	1299.244	2994.819	3776.047
2.033609	4	524.195	1236.507	2832.428	3702.310
2.039859	4	529.062	1290.007	2812.999	3667.797
2.046109	4	541.661	1323.882	2833.606	3745.623
2.052359	4	489.533	1277.124	2708.941	3927.410
2.058609	4	480.649	1288.488	2720.146	3748.476
2.064859	4	564.695	1521.936	2809.841	3808.723
2.071109	3	528.556	1994.007	3109.252	--undefined--
2.077359	4	446.769	1967.520	2508.623	3941.950
2.083609	4	414.412	1584.588	2743.636	3859.588
2.089859	4	487.975	1634.170	2642.684	3788.638
2.096109	4	445.212	1709.604	2478.085	3756.638
2.102359	4	427.474	1831.663	2595.146	3868.331
2.108609	4	407.328	1785.501	2497.725	3943.329
2.114859	4	436.133	1764.649	2419.051	3758.342
2.121109	4	521.309	1847.492	2299.919	3737.998
2.127359	4	436.331	1632.470	2226.711	3839.053
2.133609	4	413.941	1730.563	2190.683	3865.918
2.139859	4	387.335	1828.948	2346.209	3876.072
2.146109	4	509.630	1722.286	2448.457	3926.365
2.152359	4	581.311	1747.888	2410.228	3915.793
2.158609	4	479.570	1726.480	2456.851	3911.786
2.164859	4	452.627	1772.061	2694.770	3923.229
2.171109	4	467.264	1945.884	2384.333	3879.627
2.177359	4	404.336	1793.294	2460.598	3867.473
2.183609	4	409.604	1711.131	2564.596	3936.463
2.189859	4	519.314	1665.860	2548.129	4000.619
2.196109	4	715.681	1444.026	2278.939	3763.459
2.202359	3	716.657	1510.047	2465.675	--undefined--
2.208609	3	729.636	1598.667	2599.532	--undefined--
2.214859	3	482.512	1987.219	3837.225	--undefined--
2.221109	4	337.522	1833.535	2653.701	3953.398
