time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
3.027615	4	952.043	1624.675	3196.275	4022.494
3.046365	4	793.972	1557.733	3245.365	4039.977
3.065115	4	749.928	1593.558	3237.388	4103.112
3.083865	3	677.778	1536.855	3211.358	--undefined--
3.102615	3	632.245	1356.492	3103.052	--undefined--
3.121365	3	614.709	1250.748	2800.608	--undefined--
3.140115	4	623.860	1214.142	2789.647	2798.916
3.158865	4	641.086	1218.273	2076.853	3032.166
3.177615	4	645.502	1257.793	1960.724	3081.400
3.196365	4	640.905	1334.909	1815.228	3084.534
3.215115	3	887.598	1447.878	3079.871	--undefined--
3.233865	3	848.064	1380.585	3023.842	--undefined--
3.252615	4	193.481	520.050	1340.983	2907.280
3.271365	4	240.534	1242.106	1610.200	2906.608
3.290115	4	186.200	1137.307	1608.421	2915.919
3.308865	3	906.918	1177.553	2896.557	--undefined--
3.327615	3	1013.652	1277.902	2863.008	--undefined--
3.346365	3	1014.777	1425.611	2839.343	--undefined--
3.365115	3	995.463	1494.657	2892.237	--undefined--
3.383865	3	1003.919	1373.820	3029.986	--undefined--
3.402615	2	1237.717	2878.075	--undefined--	--undefined--
3.421365	4	257.851	1259.440	2765.696	3867.037
3.440115	3	1250.619	1253.868	2839.651	--undefined--
3.458865	3	1043.948	1689.408	2876.486	--undefined--
3.477615	3	1031.073	1669.059	3113.997	--undefined--
3.496365	3	1126.834	1682.889	3324.470	--undefined--
3.515115	3	1167.172	1810.426	3311.038	--undefined--
3.533865	3	1188.074	2074.551	3456.217	--undefined--
3.552615	3	1195.185	2634.389	3890.790	--undefined--
3.571365	4	790.117	1186.435	2782.170	3863.669
3.590115	3	343.636	1118.640	2820.963	--undefined--
3.608865	2	1050.165	2677.446	--undefined--	--undefined--
3.627615	4	945.953	1126.858	2538.869	4249.057
3.646365	3	959.902	1149.403	4255.005	--undefined--
3.665115	3	536.452	1162.514	4238.336	--undefined--
3.683865	3	519.067	1253.126	3532.153	--undefined--
3.702615	3	520.800	1292.177	3243.219	--undefined--
3.721365	3	456.774	1350.633	3256.527	--undefined--
3.740115	3	407.116	1546.119	3209.505	--undefined--
3.758865	3	431.167	1562.777	3202.382	--undefined--
3.777615	3	473.148	1472.517	3240.263	--undefined--
3.796365	3	538.236	1586.358	3346.158	--undefined--
3.815115	3	475.294	1709.059	3342.446	--undefined--
3.833865	3	420.334	1813.345	3342.614	--undefined--
3.852615	3	376.813	1842.505	3073.327	--undefined--
3.871365	3	283.748	1922.746	3255.646	--undefined--
3.890115	3	325.871	1928.025	3216.914	--undefined--
3.908865	4	320.702	1815.581	3156.200	4140.833
3.927615	4	371.117	1940.422	3171.250	4035.929
3.946365	3	404.240	2184.138	3542.884	--undefined--
3.965115	3	407.734	2383.591	3201.720	--undefined--
3.983865	3	408.190	2557.825	3158.549	--undefined--
4.002615	3	449.108	2648.702	3342.413	--undefined--
4.021365	3	511.439	2664.281	3363.486	--undefined--
4.040115	3	484.629	2666.565	3256.598	--undefined--
4.058865	3	428.682	1947.997	3009.397	--undefined--
4.077615	3	455.415	1736.196	3091.818	--undefined--
4.096365	3	498.931	1698.888	3151.302	--undefined--
4.115115	4	457.395	1340.801	1630.625	3418.157
4.133865	4	289.704	644.695	1946.818	3597.179
4.152615	4	162.351	657.446	2383.904	3957.531
4.171365	4	211.253	610.747	2584.191	4126.894
4.190115	4	267.960	506.591	2424.522	4039.297
4.208865	4	461.854	727.291	2439.206	3948.487
4.227615	3	488.398	856.695	3413.772	--undefined--
4.246365	3	531.581	937.452	3231.116	--undefined--
4.265115	3	664.517	1060.101	3211.756	--undefined--
4.283865	4	692.233	1132.041	2032.179	2991.254
4.302615	4	662.094	1176.752	2069.911	2992.164
4.321365	4	599.228	1193.720	1287.360	3147.313
4.340115	3	568.529	1195.407	3192.364	--undefined--
4.358865	4	586.576	937.071	1296.612	3058.250
4.377615	4	714.777	921.228	1458.903	2871.172
4.396365	4	639.875	1073.228	1553.809	2856.765
4.415115	3	648.523	1526.212	2824.195	--undefined--
4.433865	3	676.558	1518.413	2767.837	--undefined--
4.452615	3	685.250	1555.102	3160.289	--undefined--
4.471365	3	658.379	1706.956	3133.602	--undefined--
4.490115	3	713.658	1503.929	3000.733	--undefined--
4.508865	3	772.284	1373.659	2892.572	--undefined--
4.527615	4	849.190	1320.427	2834.474	3382.176
4.546365	4	912.763	1299.991	2272.583	3120.443
4.565115	4	892.394	1291.898	1892.779	3115.815
4.583865	4	830.351	1278.543	1747.561	2858.211
4.602615	4	807.494	1287.523	1743.446	2824.376
4.621365	4	844.050	1270.892	1805.322	2795.842
4.640115	4	882.940	1285.164	2091.656	2709.509
4.658865	4	908.188	1297.959	1759.996	3157.866
4.677615	4	749.284	1060.513	1304.501	3204.100
4.696365	4	506.895	982.075	1269.079	3219.159
4.715115	3	936.112	1251.834	3232.559	--undefined--
4.733865	4	801.709	896.198	1209.119	3233.767
4.752615	4	328.932	922.198	1235.558	3248.524
4.771365	3	919.384	1264.517	3255.404	--undefined--
4.790115	3	979.299	1219.580	3244.576	--undefined--
4.808865	3	567.117	1086.248	3099.518	--undefined--
4.827615	4	550.480	1101.556	2048.393	3130.286
4.846365	4	540.417	1132.540	2069.435	3115.703
4.865115	4	506.586	1170.792	2030.464	3099.516
4.883865	4	456.450	1210.649	2012.317	2995.184
4.902615	4	549.499	1330.572	2021.661	2928.046
4.921365	4	580.054	1384.963	2064.560	2953.461
4.940115	4	647.324	1436.469	2108.707	3121.767
4.958865	4	779.229	1155.887	2002.786	3317.603
4.977615	3	832.823	1973.991	3451.554	--undefined--
4.996365	3	894.478	2118.312	4164.050	--undefined--
5.015115	3	982.701	2094.365	3126.750	--undefined--
