time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
1.690609	3	1499.858	2893.590	3127.717	--undefined--
1.696859	3	1432.276	2874.504	4733.824	--undefined--
1.703109	3	1181.355	2625.248	3577.932	--undefined--
1.709359	3	1219.625	2736.785	3360.639	--undefined--
1.715609	3	1277.111	2765.027	3141.558	--undefined--
1.721859	3	937.138	2551.059	3353.237	--undefined--
1.728109	3	1088.607	2458.237	3424.577	--undefined--
1.734359	3	1101.304	2821.169	3756.284	--undefined--
1.740609	3	1152.223	2785.408	3624.094	--undefined--
1.746859	3	1168.863	2877.916	3388.220	--undefined--
1.753109	3	1249.117	2375.460	3324.744	--undefined--
1.759359	3	232.418	2255.003	3524.816	--undefined--
1.765609	4	516.912	2166.574	3129.578	3959.208
1.771859	4	682.660	2216.872	3138.755	3987.690
1.778109	4	569.214	2185.097	3190.933	3971.344
1.784359	4	461.667	2190.294	3256.949	3973.054
1.790609	4	436.600	2171.927	3276.843	4014.199
1.796859	4	418.914	2127.833	3215.457	3998.916
1.803109	4	404.875	2061.316	3169.093	4007.984
1.809359	4	398.929	1997.588	3209.736	3984.787
1.815609	4	407.500	1944.841	3214.633	3942.685
1.821859	4	419.372	1917.511	3199.035	4070.979
1.828109	4	417.297	1877.700	3242.348	4151.066
1.834359	4	695.286	1791.938	3274.426	4224.872
1.840609	4	819.177	1946.323	3335.374	4158.096
1.846859	4	682.229	1979.527	3351.544	4226.714
1.853109	3	619.173	1949.778	3326.400	--undefined--
1.859359	4	485.180	1879.988	3318.638	4657.010
1.865609	3	444.771	1922.986	3317.017	--undefined--
1.871859	3	467.863	1890.723	3348.988	--undefined--
1.878109	4	543.918	1850.033	3288.820	4830.757
1.884359	3	1659.132	2773.850	3123.324	--undefined--
1.890609	3	1423.024	2120.530	3245.056	--undefined--
1.896859	4	1345.696	2048.612	3206.040	3822.577
1.903109	3	1162.872	2141.450	3206.307	--undefined--
1.909359	3	1165.288	2223.635	3234.415	--undefined--
1.915609	3	1322.234	2187.551	3259.854	--undefined--
1.921859	3	1451.180	2185.786	3320.755	--undefined--
1.928109	3	1409.656	2264.268	3295.921	--undefined--
1.934359	3	1290.794	2250.057	3306.188	--undefined--
1.940609	3	1352.788	2250.796	3314.884	--undefined--
1.946859	3	1231.218	2318.178	3421.698	--undefined--
1.953109	4	1144.121	2258.066	2726.439	3695.901
1.959359	4	1218.496	2236.681	2303.069	3647.586
1.965609	4	1222.441	2136.203	2282.097	3590.522
1.971859	4	1034.873	2009.367	2526.527	3656.477
1.978109	4	1142.954	2235.151	2414.928	3648.646
1.984359	4	1313.768	2236.145	3022.215	3407.201
1.990609	4	1307.524	2237.679	3227.585	3416.334
1.996859	4	1587.681	1725.143	2430.565	3609.409
2.003109	3	1738.716	2586.844	3653.059	--undefined--
